OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,TOT_STUDENTS_ENROLLED_SCHOOL_YR,SUBSET_STUDENTS_GRADES_PK_5,SUBSET_STUDENTS_GRADES_6_8,SUBSET_STUDENTS_GRADES_9_12,PCT_GRADES_PK_5,PCT_GRADES_6_8,PCT_GRADES_9_12,STUDENT_SERVED_BY_SPECIAL_ED,PCT_SERVED_BY_SPECIAL_ED,STUDENT_SERVED_BY_GIFTED,PCT_SERVED_BY_GIFTED,STUDENT_IS_ENGLISH_LEARNER,PCT_ENGLISH_LEARNER,CT_RETAINED_STUDTS,PCT_RETAINED_STUDTS,CT_HOMELESS_UNACCOMP_STUDTS,PCT_HOMELESS,CT_STUDTS_PARENT_ACTV_MILITARY,PCT_STUDTS_PARENT_ACTV_MILITARY,CT_MID_STUDENTS_WITHDRAW_HOME,PCT_MID_STUDENTS_WITHDRAW_HOME,CT_HS_STUDENTS_WITHDRAW_HOME,PCT_HS_STUDENTS_WITHDRAW_HOME,CT_MID_STUDENTS_WITHDRAW_DJJ,PCT_MID_STUDENTS_WITHDRAW_DJJ,CT_HS_STUDENTS_WITHDRAW_DJJ,PCT_HS_STUDENTS_WITHDRAW_DJJ,CT_STUDENTS_WITHDRAW_ANY,PCT_STUDENTS_WITHDRAW_ANY,STUDENTS_ABSENT_0_5_days,PCT_STUDENTS_ABSENT_0_5_days,STUDENTS_ABSENT_6_15_days,PCT_STUDENTS_ABSENT_6_15_days,STUDENTS_ABSENT_16_MORE_DAYS,PCT_STUDTS_ABSENT_16_MORE_DAYS,CT_STUDTS_REC_DISCIPLINE,PCT_STUDTS_ABS_REC_DISCIPLINE,CT_STUDTS_OSS_MORE_10_days,PCT_STUDTS_OSS_MORE_10_days,CT_STUDTS_ISS_MORE_10_days,PCT_STUDTS_ISS_MORE_10_days,CT_GRD3_MILES_EOG_ELA_PRO_DIS,PCT_GRD3_MILES_EOG_ELA_PRO_DIS,CT_GRD5_MILES_EOG_ELA_PRO_DIS,PCT_GRD5_MILES_EOG_ELA_PRO_DIS,CT_GRD8_MILES_EOG_ELA_PRO_DIS,PCT_GRD8_MILES_EOG_ELA_PRO_DIS,CT_GRD3_MILES_EOG_MATH_PRO_DIS,PCT_GRD3_MILES_EOG_MATH_PRO_DIS,CT_GRD5_MILES_EOG_MATH_PRO_DIS,PCT_GRD5_MILES_EOG_MATH_PRO_DIS,CT_GRD8_MILES_EOG_MATH_PRO_DIS,PCT_GRD8_MILES_EOG_Math_PRO_DIS,CT_MILES_EOC_ALGEBRA_PRO_or_DIS,PCT_MILES_EOC_ALGEBRA_PRO_DIS,DENOM_TOT_GRD3_MILES_EOG_ELA,DENOM_TOT_GRD5_MILES_EOG_ELA,DENOM_TOT_GRD8_MILES_EOG_ELA,DENOM_TOT_GRD3_MILES_EOG_MATH,DENOM_TOT_GRD5_MILES_EOG_MATH,DENOM_TOT_GRD8_MILES_EOG_MATH,DENOM_TOT_MILES_EOC_ALG_TAKERS,GlobalID,last_edited_date
1,13045910103,13045,"Census Tract 9101.03, Carroll County",4824,361,ARC 20,13733.90039063,211.03199768,13945,21.45919991,0.32973701,21.78910065,910103,Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{D8DAFF9C-1266-4BA5-90E5-B568B40E8797},
2,13045910104,13045,"Census Tract 9101.04, Carroll County",10068,865,ARC 20,10931.29980469,177.147995,11108.5,17.0802002,0.27679399,17.35700035,910104,Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{96B6B9FC-9CEE-41C1-9925-3DBBBAEA6682},
3,13045910502,13045,"Census Tract 9105.02, Carroll County",3339,523,ARC 20,1039.95996094,35.62200165,1075.58996582,1.62494004,0.0556594,1.68060994,910502,Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{472637B9-D3F1-4ED8-93CC-FE7725CD713D},
4,13045910800,13045,"Census Tract 9108, Carroll County",4188,451,ARC 20,42136.6015625,437.87399292,42574.5,65.83840179,0.68417799,66.52269745,910800,Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{484E1801-21A5-4C65-862E-89C24F6B0695},
5,13045910101,13045,"Census Tract 9101.01, Carroll County",6224,495,ARC 20,4104.14990234,16.12610054,4120.27001953,6.41273022,0.025197,6.43792009,910101,Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{18145E54-0B97-40EC-B844-FFB870E3B91D},
6,13045910200,13045,"Census Tract 9102, Carroll County",11669,1080,ARC 20,29329.30078125,392.24899292,29721.59960938,45.82699966,0.61288899,46.43999863,910200,Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{64672247-8426-43B5-B88E-C997B6A15741},
7,13045910900,13045,"Census Tract 9109, Carroll County",4064,348,ARC 20,32149.59960938,480.14801025,32629.69921875,50.2336998,0.75023103,50.98389816,910900,Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{0BF50060-7F2A-4EC8-BC3E-2A8D083327EC},
8,13045910300,13045,"Census Tract 9103, Carroll County",5978,488,ARC 20,36344.8984375,214.26400757,36559.1015625,56.78889847,0.33478799,57.12360001,910300,Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{DBABC561-A8A4-471E-9FB7-FAD929FDF8AF},
9,13045911100,13045,"Census Tract 9111, Carroll County",7217,756,ARC 20,12758.70019531,138.08599854,12896.79980469,19.93549919,0.21575899,20.15119934,911100,Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{B1B1A6FE-F3EC-43E6-BF65-919415E64FBA},
10,13045911000,13045,"Census Tract 9110, Carroll County",6083,761,ARC 20,12543,130.88600159,12673.79980469,19.59840012,0.204509,19.80279922,911000,Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{DD614206-1FC1-4A26-B98A-FAE1F25AE2D6},
11,13045910701,13045,"Census Tract 9107.01, Carroll County",9360,796,ARC 20,16111.20019531,125.41100311,16236.59960938,25.17370033,0.19595499,25.36969948,910701,Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{9C5FC8AA-443E-4A39-B654-A5672988C2E7},
12,13045910703,13045,"Census Tract 9107.03, Carroll County",8743,899,ARC 20,8591.16992188,261.16799927,8852.33984375,13.42370033,0.408075,13.83180046,910703,Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{7F0ACBB9-CE92-4641-AC58-A6BD4476FE05},
13,13045910600,13045,"Census Tract 9106, Carroll County",6391,522,ARC 20,8041.37988281,0.54437298,8041.91992188,12.56470013,0.00085058,12.56550026,910600,Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{C82C2D06-55EA-401D-8E92-F915B49B9AA6},
14,13045910501,13045,"Census Tract 9105.01, Carroll County",8615,712,ARC 20,7382.89013672,0,7382.89013672,11.53579998,0,11.53579998,910501,Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{2336E86F-6983-4CEE-9B21-122830457F6C},
15,13045910702,13045,"Census Tract 9107.02, Carroll County",8052,958,ARC 20,14868.5,304.74301147,15173.29980469,23.23200035,0.476161,23.70829964,910702,Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{67ABDF68-9615-40C0-B14F-02C89FE59082},
16,13045911200,13045,"Census Tract 9112, Carroll County",5615,622,ARC 20,41791.80078125,67.61920166,41859.5,65.29969788,0.105655,65.40550232,911200,Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{9DE1E748-E07C-4DDB-B7A0-D61DA37E6AC1},
17,13045910400,13045,"Census Tract 9104, Carroll County",3326,320,ARC 20,27550.09960938,53.30459976,27603.40039063,43.04700089,0.0832884,43.13029861,910400,Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{64DDE515-4AEF-489D-9587-5DED442A6FD6},
18,13113140207,13113,"Census Tract 1402.07, Fayette County",5652,400,ARC 10,1817.18005371,197.76800537,2014.94995117,2.83933997,0.30901301,3.14836001,140207,Fayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{D1AE0EC2-2BA3-4DA4-B1E3-50547362240B},
19,13113140208,13113,"Census Tract 1402.08, Fayette County",7538,616,ARC 10,4174.27001953,123.97299957,4298.25,6.52229977,0.193708,6.71602011,140208,Fayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{6B6FF0E7-3033-4862-ADE7-85023BB6676A},
20,13113140303,13113,"Census Tract 1403.03, Fayette County",4828,268,ARC 10,3397.15991211,234.27900696,3631.43994141,5.30806017,0.366061,5.67411995,140303,Fayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{81A2351D-8439-4711-B052-FE2E62CA475D},
21,13113140304,13113,"Census Tract 1403.04, Fayette County",5927,416,ARC 10,3411.91992188,33.34960175,3445.27001953,5.33112001,0.0521088,5.38323021,140304,Fayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{B0C8B32D-CB6E-4C74-B691-CDA5D6C08361},
22,13113140307,13113,"Census Tract 1403.07, Fayette County",5048,306,ARC 10,4196.87011719,96.89790344,4293.77001953,6.55761003,0.15140299,6.70902014,140307,Fayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{AE3D56CA-3909-4B15-BCBC-0536C23481D8},
